Name,Component_1,Component_2
Cartwheelnut,Cartwheel,Hazelnut
Helixelm,Helix,Elm
Crabapple,Crab Nebula,Crabapple
Pillarspen,Pillars,Aspen
Sagittariuswood,Sagittarius,Sandalwood
Scorpiuspen,Scorpius,Aspen
Taurusqoia,Taurus,Sequoia
Geminoak,Gemini,Oak
Cancerdar,Cancer,Cedar
Leowood,Leo,Boxwood
Virgowan,Virgo,Rowan
Librasswood,Libra,Basswood
Ariesnut,Aries,Chestnut
Capricornbeam,Capricorn,Hornbeam
Aquariuslder,Aquarius,Alder
Piscespress,Pisces,Cypress
Magnetardwood,Magnetar,Hardwood
Pulsarwood,Pulsar,Rosewood
Quasarberry,Quasar,Elderberry
Supernovakia,Supernova,Plumeria
Hypernovania,Hypernova,Paulownia
Blackholly,Black Hole,Holly
Whitedwarfpine,White Dwarf,White Pine
Redgiantwood,Red Giant,Giantwood
Bluegiganticacia,Blue Giant,Acacia
Neutronia,Neutron Star,Catalpa
Browndwarfnut,Brown Dwarf,Butternut
Protostarfir,Protostar,Fir
Mainsequoia,Main Sequence,Sequoia
Subergiantree,Supergiant,Tree
Yorkcloud,Oort Cloud,Cork
Kuiperlpa,Kuiper Belt,Catalpa
Heliospherical,Heliosphere,Spherical Tree
Heliopaulogany,Heliopause,Mahogany
Terminationoak,Termination Shock,Oak
Bowshockberry,Bow Shock,Hackberry
Stellarwindwood,Stellar Wind,Driftwood
Solarwindowan,Solar Wind,Rowan
Interstellarch,Interstellar Medium,Larch
Circumstellarix,Circumstellar Disk,Tamarix
Protoplanetree,Protoplanetary Disk,Plane Tree
Accretionoak,Accretion Disk,Oak
Eventhorizonwood,Event Horizon,Ironwood
Schwarzschillow,Schwarzschild Radius,Willow
Singularsimmon,Singularity,Persimmon
Rochelimewood,Roche Limit,Limewood
Lagrangewood,Lagrange Point,Rangewood
Trojantree,Trojan Asteroids,Tree
Hildazel,Hilda Group,Hazel
Amoribark,Amor Asteroids,Bark
Atenberry,Aten Asteroids,Elderberry
Apollomeria,Apollo Asteroids,Plumeria
Gammaburst Ash,Gamma Ray Burst,Ash
Xraybirch,X-ray Binary,Birch
Millisecwood,Millisecond Pulsar,Redwood
Magnetarch,Magnetar,Larch
Softgammawood,Soft Gamma Repeater,Softwood
Superclusternut,Supercluster,Clusternut
Galaxyclusterpine,Galaxy Cluster,Pine
Galaxygroupfir,Galaxy Group,Fir
Localgrowan,Local Group,Rowan
Virgoclusteroak,Virgo Cluster,Oak
Comaberrynicaceae,Coma Berenices,Berry
Greatwallnut,Great Wall,Wallnut
Sloangreatwillow,Sloan Great Wall,Willow
Herculessuperia,Hercules Supercluster,Wisteria
Shapleypress,Shapley Supercluster,Cypress
Laniakeroak,Laniakea Supercluster,Kauri Oak
Cosmicwebwood,Cosmic Web,Webwood
Filamentree,Filament,Tree
Voidwood,Void,Driftwood
Boötesvoidwood,Boötes Void,Olivewood
Sculptornut,Sculptor Void,Coconut
Greywallash,Great Wall,Ash
Localbubbaobab,Local Bubble,Baobab
Loopicacia,Local Interstellar Cloud,Acacia
Gouldspen,Gould Belt,Aspen
Orionspurmac,Orion Spur,Sumac
Sagittariusarmwood,Sagittarius Arm,Armwood
Perseusarmpine,Perseus Arm,Pine
Outerarmoak,Outer Arm,Oak
Scutumcentauruswood,Scutum-Centaurus Arm,Scutumwood
Normamalder,Norma Arm,Alder
Barredspiralex,Barred Spiral,Ilex
Ellipticacacia,Elliptical Galaxy,Acacia
Irregularnut,Irregular Galaxy,Butternut
Lenticularcorn,Lenticular Galaxy,Acorn
Dwarfnut,Dwarf Galaxy,Chestnut
Satelliteelm,Satellite Galaxy,Elm
Starburstfir,Starburst Galaxy,Fir
Seyfertree,Seyfert Galaxy,Feather Tree
Blazarwood,Blazar,Rosewood
Radiogalaxypress,Radio Galaxy,Cypress
Activenutcleus,Active Galactic Nucleus,Nut
Quasartree,Quasar,Quandong Tree
Ultraluminouswood,Ultraluminous Galaxy,Luminous Tree
Luminousredgiant,Luminous Red Galaxy,Red Giant Sequoia
Greenpeachia,Green Pea Galaxy,Peach
Polarringwood,Polar Ring Galaxy,Ringwood
Shellgalaxash,Shell Galaxy,Ash
Ringalaxypress,Ring Galaxy,Cypress
Hoagsobjectoak,Hoag's Object,Oak
Mayallsobjectree,Mayall's Object,Tree
Tadpolgalaxillow,Tadpole Galaxy,Willow
Cometgalaxalder,Comet Galaxy,Alder
Sunflowernut,Sunflower Galaxy,Sunflower
Blackeyewood,Black Eye Galaxy,Blackwood
Bodesgalaxnut,Bode's Galaxy,Coconut
Cigargalaxpress,Cigar Galaxy,Cypress
Mousesgalaxypen,Mice Galaxies,Aspen
Antennaegalaxynt,Antennae Galaxies,Antwood
Polarisstwood,Polaris,Sasswood
Rigwood,Rigel,Dogwood
Canopusnut,Canopus,Coconut
Vegamore,Vega,Sycamore
Capellalnut,Capella,Walnut
Rigelberry,Rigel,Mulberry
Procyonwood,Procyon,Cottonwood
Achernarnut,Achernar,Butternut
Betelgeuswood,Betelgeuse,Geuswood
Hadarcedarwood,Hadar,Cedarwood
Altairix,Altair,Tamarix
Alderaminwood,Alderamin,Alderwood
Denebolive,Denebola,Olive
Mimosacia,Mimosa,Acacia
Regulenut,Regulus,Filbert
Adharalnut,Adhara,Walnut
Shahelmwood,Shaula,Elm
Gacruxifir,Gacrux,Fir
Bellatrixnut,Bellatrix,Hazelnut
Elnathnut,Elnath,Chestnut
Miaplacidiumwood,Miaplacidus,Palladium
Alnitaknut,Alnitak,Coconut
Alnilamspen,Alnilam,Aspen
Aliothogany,Alioth,Mahogany
Mirzamberry,Mirzam,Mulberry
Alkaidnut,Alkaid,Butternut
Atriarch,Atria,Larch
Alhenawood,Alhena,Alderwood
Peacockahogany,Peacock,Mahogany
Mirfaknut,Mirfak,Coconut
Wezenalder,Wezen,Alder
Sargassage,Sargas,Sage
Menkarberry,Menkar,Elderberry
Eniffir,Enif,Fir
Denebalgedinut,Deneb Algedi,Butternut
Zubenhaknutbi,Zuben Hakrabi,Butternut
Alshainalnut,Alshain,Walnut
Rastabantamarind,Rastaban,Tamarind
Markabwood,Markab,Markwood
Schedarogany,Schedar,Mahogany
Almaalnutak,Almaak,Walnut
Rasalgetash,Rasalgethi,Ash
Thubanyan,Thuban,Banyan
Kausafras,Kaus Australis,Sassafras
Nunkirnut,Nunki,Coconut
Sabikwood,Sabik,Rosewood
Menkalnutnan,Menkalnan,Butternut
Asteropewood,Asterope,Redwood
Atlaspen,Atlas,Aspen
Electralder,Electra,Alder
Maiagany,Maia,Mahogany
Meropewood,Merope,Olivewood
Taugetamarix,Taygeta,Tamarix
Pleionetree,Pleione,Tree
Celaenoak,Celaeno,Oak
Alcyonedar,Alcyone,Cedar
Sterropopelnut,Sterope,Pecanut
Proximaple,Proxima Centauri,Apple
Alphacenternut,Alpha Centauri,Butternut
Barnardstaroak,Barnard's Star,Oak
Wolfwood,Wolf 359,Dogwood
Lalandelarch,Lalande 21185,Larch
Siriuswood,Sirius,Basswood
Luytenbirch,Luyten 726-8,Birch
Rossnut,Ross 154,Coconut
Rossberry,Ross 248,Elderberry
Epsilonwood,Epsilon Eridani,Sandalwood
Lacaillemwood,Lacaille 9352,Elmwood
Rosswood,Ross 128,Cottonwood
EZaquariuspen,EZ Aquarii,Aspen
Procyonix,Procyon,Phoenix
Sixtyonecygnust,61 Cygni,Locust
Struvewood,Struve 2398,Rosewood
Groombridgefir,Groombridge 34,Fir
Epsilondiwood,Epsilon Indi,Indigowood
DXcancroak,DX Cancri,Oak
Taucetialder,Tau Ceti,Alder
Luytenut,Luyten's Star,Butternut
Teegardeenspen,Teegarden's Star,Aspen
Kapteynsnut,Kapteyn's Star,Coconut
Lacaillewood,Lacaille 8760,Lacewood
Krugernut,Krüger 60,Coconut
Rosspress,Ross 614,Cypress
Wolfwoodogwood,Wolf 1061,Dogwood
Vanmaanensnut,Van Maanen's Star,Chestnut
Gliesetree,Gliese 1,Tree
Gielenseginkgo,Gliese 876,Ginkgo
Giseewood,Gliese 581,Rosewood
TRappistree,TRAPPIST-1,Trapwood
Gliesecherry,Gliese 667,Cherry
Glisewood,Gliese 832,Walnutwood
Glaesewood,Gliese 163,Olivewood
Gleasewood,Gliese 180,Teaselwood
Lessewood,Gliese 221,Lesserwood
Sleewood,Gliese 317,Sleekwood
Liewood,Gliese 357,Tree
Gleetree,Gliese 433,Tree
Graywood,Gliese 436,Graywood
Greatwood,Gliese 504,Greatwood
Greenwood,Gliese 570,Greenwood
Greshwood,Gliese 625,Ashwood
Gladewood,Gliese 649,Glade
Glowwood,Gliese 674,Glowwood
Gradewood,Gliese 682,Gradewood
Gracewood,Gliese 686,Gracewood
Grandewood,Gliese 785,Grandewood
Glintwood,Gliese 806,Flintwood
Grimwood,Gliese 832,Grimwood
Horsehead Hickory,Horsehead Nebula,Hickory
Eaglenberry,Eagle Nebula,Elderberry
Trifidogwood,Trifid Nebula,Dogwood
Lagoonwood,Lagoon Nebula,Lagoonwood
Rosettamarisk,Rosette Nebula,Tamarisk
Carinapress,Carina Nebula,Cypress
Veilbark,Veil Nebula,Bark
Northamericoak,North America Nebula,Oak
Flamingowan,Flaming Star Nebula,Rowan
Owlnut,Owl Nebula,Walnut
Catseyelm,Cat's Eye Nebula,Elm
Ringebula,Ring Nebula,Nebula
Dumbbellnut,Dumbbell Nebula,Butternut
Boomerangalm,Boomerang Nebula,Palm
Butterflypress,Butterfly Nebula,Cypress
Calasash,Calabash Nebula,Ash
Redspiderash,Red Spider Nebula,Ash
Eskimogany,Eskimo Nebula,Mahogany
Ghostjuniper,Ghost of Jupiter,Juniper
Helixogwood,Helix Nebula,Dogwood
Spiralpress,Spiral Planetary,Cypress
Littlegembark,Little Gem Nebula,Bark
Necklacacia,Necklace Nebula,Acacia
Saturnbeech,Saturn Nebula,Beech
Bluesnowbark,Blue Snowball,Bark
Twinjet Fir,Twin Jet Nebula,Fir
Hourglasswood,Hourglass Nebula,Boxwood
Eggwood,Egg Nebula,Dogwood
Boxtree,Box Nebula,Boxtree
Crescentpress,Crescent Nebula,Cypress
Bubblebark,Bubble Nebula,Bark
Thorwood,Thor's Helmet,Thornwood
Snailgum,Snail Nebula,Sweetgum
Conepinepress,Cone Nebula,Pine
Irisbeech,Iris Nebula,Beech
Witchheadash,Witch Head Nebula,Ash
Barnardloopwood,Barnard's Loop,Loopwood
Californiapress,California Nebula,Cypress
Heartbark,Heart Nebula,Bark
Soulspuce,Soul Nebula,Spruce
Pacmangany,Pacman Nebula,Mahogany
Monkeyheadnut,Monkey Head Nebula,Monkeynut
Wizardlm,Wizard Nebula,Elm
Tulipwood,Tulip Nebula,Tulipwood
Crescentbark,Crescent Nebula,Bark
Pelicangum,Pelican Nebula,Gum
Elephantstrunkwood,Elephant's Trunk,Trunkwood
Tuningforkpress,Tuning Fork Galaxy,Cypress
Sombrerowood,Sombrero Galaxy,Sombrerowood
Blackeyesycamore,Black Eye Galaxy,Sycamore
Sunflowernut,Sunflower Galaxy,Coconut
Pinwheelder,Pinwheel Galaxy,Elder
Fireworksgalaxyalder,Fireworks Galaxy,Alder
Spindlepress,Spindle Galaxy,Cypress
Bodesgalaxnut,Bode's Galaxy,Butternut
Cigargalaxbirch,Cigar Galaxy,Birch
Whirlpoolepress,Whirlpool Galaxy,Cypress
Cartwheelalder,Cartwheel Galaxy,Alder
Tadpolewood,Tadpole Galaxy,Tadwood
Antenaennut,Antennae Galaxies,Nut
Mousesgalaxielm,Mice Galaxies,Elm
Atomspeachachy,Atom's Peace Galaxy,Peachy
Malinsgalaxnut,Malin 1,Nut
Hoagsobjecteakwood,Hoag's Object,Teakwood
Ringgalaxynut,Ring Galaxy,Donut
Polarringiron,Polar Ring Galaxy,Ironwood
Silversliverwood,Silver Sliver Galaxy,Silverwood
Needlepress,Needle Galaxy,Cypress
Hamburgerash,Hamburger Galaxy,Ash
